1.1	Purpose
19.3	Appendices_Tolerant Applications
19.4	Appendices_Differences Between HTTP Entities and RFC 2045 Entities
19.4.1	Appendices_Differences Between HTTP Entities and RFC 2045 Entities_MIME-Version
19.4.2	Appendices_Differences Between HTTP Entities and RFC 2045 Entities_Conversion to Canonical Form
19.4.3	Appendices_Differences Between HTTP Entities and RFC 2045 Entities_Conversion of Date Formats
19.4.4	Appendices_Differences Between HTTP Entities and RFC 2045 Entities_Introduction of Content-Encoding
19.4.5	Appendices_Differences Between HTTP Entities and RFC 2045 Entities_No Content-Transfer-Encoding
19.4.6	Appendices_Differences Between HTTP Entities and RFC 2045 Entities_Introduction of Transfer-Encoding
19.4.7	Appendices_Differences Between HTTP Entities and RFC 2045 Entities_MHTML and Line Length Limitations
19.5	Appendices_Additional Features
19.5.1	Appendices_Additional Features_Content-Disposition
19.6	Appendices_Compatibility with Previous Versions
19.6.1	Appendices_Compatibility with Previous Versions_Changes from HTTP1.0
19.6.1.1	Appendices_Compatibility with Previous Versions_Changes from HTTP1.0_Changes to Simplify Multi-homed Web Servers and Conserve IP
19.6.2	Appendices_Compatibility with Previous Versions_Compatibility with HTTP1.0 Persistent Connections
19.6.3	Appendices_Compatibility with Previous Versions_Changes from RFC 2068
20	Index
